pay_code,pay_code_id,is_overtime_pay_code,is_leave_pay_code
Perm Weekend Nite,a890228c4bd86c0283c4a26f7e121201eea95a1c1b4652d18743090ea478e0f3,false,false
HH-Hourly Clinics,93166ade07f35efd2a8a2299ef6977d47ebc26ae9ddd92a0ebb014c3c8432f0d,false,false
zzSEIU No Min 8,5d65ca21baa908153966d196fa780d161ac1583f051dc0b2c2def8bab7a9a414,false,false
HH-Hourly,d930c519d533154a91e330e8b9ee46983bd1d4876f9117d5dedcd773e602a82e,false,false
Vacation TM,fe43f3ac3a36fd4a1498699b584c2dc24c7866e76e7467afd8d39d03c8b707a8,false,true
TM-12 OT 50HP,ebc34e675f25c1de6bc555fd7540b5dbff27b723043abb966dc7f278a10547ee,true,false
Sick MNA TM,71c82e75cd657df9c7a78c91d6df465251718c4690e68ed2462e7621f231307e,false,true
Sick LOA MNA TM,505a0c54e27cc12b0bb4566b059e2dbbeddbb4774966e07594768693acb19a11,false,true
MNA 12 50HP Admin,131496e584978ed17f24ea19f2a66b448efd2456846f341a2dd1965a14d43264,false,false
TM-08 OT 50HP LH,e8758e47d5b3fb619658383c82115f7c01cda576e19b66cff30c0614c52899c8,true,false
Personal Night TM,4cb93418711a94e725e30d4b8aee5d6f7c63fea24ff4a794c90b3d6f78c20014,false,true
TM-Temp Reassign 16 OT 50HP,d903e1e0be700bf974a4bba3efe730f937f978f8e46df1732681b9ce7548cf3e,true,false
TM-Temp Reassign 12 OT 50HP PN,48bf2fc3e2521ff4870e2dbb934d6b76a07a9d86bf0565592bec9f0b86e383e1,true,false
Jury Duty TM,00359713e8a9dc70eafd5e3f90fa23f1f34fc56b68751aca0fa575b8b8967e8b,false,true
Bereavement TM,facec4e37b5eee604716b458e0fe3d573ebdf35d5dd0eda3e7db3000d163d9ac,false,true
DNU_Hourly Call Back,3b91ca852edf77bc2559ab58e61e854971c64a547a0d45949590422f066d44c6,false,false
Hourly On Call,6b4a6618e4edb91cfef7f5336f988184c4e2dc8d043bc7f0e6a2d7d681710809,false,false
HH-Meeting,b740465e559a8a06df8f35046a2fec8c7367c848ac717bb6c5213853a7b21a4a,false,false
HH-Charge Pay,4ca2b26b461127ec3248c72fc329ec978820901d7715f79e0fae5e99e864cb22,false,false
HH-Union DOT 12 No Min,79ea8ad27f3a67b2329bba06abb6b9d612801cc2464c16ab707f2d58088b6950,false,false
TM-12 OT 50HP PermNite,5f986d60e0957b91eebc096a000f3b4ca75c776b63b8ce31ee56d126325dfe62,true,false
MNA Float 8 50HP,9af0722f359aa1c6bb8d91e06ccfe1946d5faa8b576451aa4b55f67a8755d386,false,true
Sick Unpaid TM,702a359639aa433509d1433a3870694f813f03c990683454e1deac2cdf36cfc6,false,true
Vacation Night Unsched TM,9b6f7e059040816301c2e30cb216604c48386f5b057e540bee2018001eb6f4d2,false,true
Orientation,e3d11242200fe8f2f21c2e5334ba0e0a7aa4dcd2a4533f92f4ec921fa9ff16a4,false,false
TM-Temp Reassign 08 OT 50HP PN,ea8f9159a529d5fc080902fd73367a4648448e7626b7d545068d8e08eac990c5,true,false
TM-On Call RN PN,d368e862ef7ece496a25eeddb45ce7956513c4a71da0edb5ed7482c7eb9f1fcb,false,false
Bereavement Eve TM,31516bc390bbfa9b4cdda4e30c8d83f3907403255dde84ef5af66d90c6507965,false,true
Holiday Unsched TM,112fae4d68594a99d81b3560a29578e1790080b3b6200db00b37d995025126e9,false,true
TM-08 OT 50HP Time Stamp,2a10134820f0b1a99450b52be86fee09d372abbc27e87a5f98c42c382da6843e,true,false
ZZ-TM-Float 12 OT 50HP PermNite,5be61653a078ca112c77ceab79a57e1446fd45a9b15f70172ed78c3b3c090962,true,true
MNA 12 50HP Orient,a0089d70867f1d948a4a032d790117a1ff6ffecec6509ebaeef37df00d6d48c0,false,false
